,hpg_store_id,visit_datetime,reserve_datetime,reserve_visitors
21,hpg_7d3e4dd0eb997f0b,2016-01-01 17:00:00,2016-01-01 11:00:00,4
22,hpg_91513661ad381d45,2016-01-01 17:00:00,2016-01-01 16:00:00,5
23,hpg_91cdca51ab93bab5,2016-01-01 17:00:00,2016-01-01 16:00:00,3
24,hpg_93bbabe64dcaa698,2016-01-01 17:00:00,2016-01-01 16:00:00,2
25,hpg_9d165bdbb41cbf6a,2016-01-01 17:00:00,2016-01-01 11:00:00,4
26,hpg_a508a4e8b427279a,2016-01-01 17:00:00,2016-01-01 10:00:00,4
27,hpg_a945c28460681526,2016-01-01 17:00:00,2016-01-01 13:00:00,2
28,hpg_ac831e5e9f5a207d,2016-01-01 17:00:00,2016-01-01 07:00:00,2
29,hpg_b10a0b7752b257b0,2016-01-01 17:00:00,2016-01-01 16:00:00,7
30,hpg_c04733d833750544,2016-01-01 17:00:00,2016-01-01 11:00:00,2
31,hpg_eaaec0515eb60fe0,2016-01-01 17:00:00,2016-01-01 16:00:00,4
32,hpg_eb4be6a2c04303cb,2016-01-01 17:00:00,2016-01-01 13:00:00,2
33,hpg_f6117f6d2533237f,2016-01-01 17:00:00,2016-01-01 12:00:00,2
34,hpg_fd3767be1bf06b66,2016-01-01 17:00:00,2016-01-01 12:00:00,2
35,hpg_0d69c2c26a7de392,2016-01-01 18:00:00,2016-01-01 12:00:00,2
36,hpg_28bdf7a336ec6a7b,2016-01-01 18:00:00,2016-01-01 15:00:00,9
37,hpg_30d5ab9055d8e087,2016-01-01 18:00:00,2016-01-01 13:00:00,2
38,hpg_37cd2a03b79e6ba0,2016-01-01 18:00:00,2016-01-01 17:00:00,5
39,hpg_37cd2a03b79e6ba0,2016-01-01 18:00:00,2016-01-01 14:00:00,5
40,hpg_3b7d239aac659f53,2016-01-01 18:00:00,2016-01-01 15:00:00,3
41,hpg_3e755d9825881876,2016-01-01 18:00:00,2016-01-01 00:00:00,2
42,hpg_3e755d9825881876,2016-01-01 18:00:00,2016-01-01 12:00:00,5
43,hpg_41aaf724e2339b0c,2016-01-01 18:00:00,2016-01-01 14:00:00,2
44,hpg_429032fb395016dd,2016-01-01 18:00:00,2016-01-01 17:00:00,2
45,hpg_48b07f5c839f8f49,2016-01-01 18:00:00,2016-01-01 14:00:00,6
46,hpg_5640f97d59ee9076,2016-01-01 18:00:00,2016-01-01 15:00:00,3
47,hpg_5e9598aa1f12de82,2016-01-01 18:00:00,2016-01-01 14:00:00,5
48,hpg_614fa1183c1db71e,2016-01-01 18:00:00,2016-01-01 00:00:00,3
49,hpg_68b02b61575e1f03,2016-01-01 18:00:00,2016-01-01 15:00:00,2
50,hpg_6bc7cf8abe71a8e1,2016-01-01 18:00:00,2016-01-01 10:00:00,2
51,hpg_6e88419fb20b4340,2016-01-01 18:00:00,2016-01-01 04:00:00,5
52,hpg_71bd045fc40969a7,2016-01-01 18:00:00,2016-01-01 17:00:00,3
53,hpg_71bd045fc40969a7,2016-01-01 18:00:00,2016-01-01 17:00:00,2
54,hpg_725a93e7a93495b0,2016-01-01 18:00:00,2016-01-01 10:00:00,4
55,hpg_749aec60f1346a46,2016-01-01 18:00:00,2016-01-01 15:00:00,2
56,hpg_7d1585d7e6d87c04,2016-01-01 18:00:00,2016-01-01 17:00:00,2
57,hpg_7d4676cc3a9821ea,2016-01-01 18:00:00,2016-01-01 03:00:00,2
58,hpg_7dcf8db235a3b41b,2016-01-01 18:00:00,2016-01-01 12:00:00,8
59,hpg_7ffe8fb377bf05f1,2016-01-01 18:00:00,2016-01-01 13:00:00,2
60,hpg_803de5106b632b76,2016-01-01 18:00:00,2016-01-01 16:00:00,2
61,hpg_8623b83c6b3cdcb0,2016-01-01 18:00:00,2016-01-01 00:00:00,2
62,hpg_8623b83c6b3cdcb0,2016-01-01 18:00:00,2016-01-01 00:00:00,2
63,hpg_89be75188da4953f,2016-01-01 18:00:00,2016-01-01 14:00:00,3
64,hpg_8f4351981f8a8436,2016-01-01 18:00:00,2016-01-01 09:00:00,6
65,hpg_95423eedc8f0d546,2016-01-01 18:00:00,2016-01-01 10:00:00,2
66,hpg_95e9aa8e55d80bc0,2016-01-01 18:00:00,2016-01-01 10:00:00,2
67,hpg_b789c5ba6b30be00,2016-01-01 18:00:00,2016-01-01 13:00:00,3
68,hpg_b7f05c204af42b91,2016-01-01 18:00:00,2016-01-01 12:00:00,6
69,hpg_be9bd53971da4ed3,2016-01-01 18:00:00,2016-01-01 17:00:00,3
70,hpg_c265a318b37114f0,2016-01-01 18:00:00,2016-01-01 12:00:00,5
71,hpg_e5896864b5de4a85,2016-01-01 18:00:00,2016-01-01 06:00:00,4
72,hpg_ea38f0f5b6ff6091,2016-01-01 18:00:00,2016-01-01 10:00:00,2
73,hpg_f26a01efd41e0314,2016-01-01 18:00:00,2016-01-01 13:00:00,11
74,hpg_f2d42d80131d54f2,2016-01-01 18:00:00,2016-01-01 16:00:00,3
75,hpg_f5eff39291f1e861,2016-01-01 18:00:00,2016-01-01 14:00:00,2
76,hpg_f802d9079d5b1af3,2016-01-01 18:00:00,2016-01-01 17:00:00,2
77,hpg_f92222c61d0adb11,2016-01-01 18:00:00,2016-01-01 12:00:00,5
78,hpg_faeacb15ef911414,2016-01-01 18:00:00,2016-01-01 13:00:00,3
79,hpg_0168bd07d1336369,2016-01-01 19:00:00,2016-01-01 15:00:00,5
80,hpg_0a633f71caf6dd95,2016-01-01 19:00:00,2016-01-01 10:00:00,6
81,hpg_0cc9e3b472c20381,2016-01-01 19:00:00,2016-01-01 18:00:00,2
82,hpg_0d302fa8c929ff48,2016-01-01 19:00:00,2016-01-01 12:00:00,3
83,hpg_28bdf7a336ec6a7b,2016-01-01 19:00:00,2016-01-01 14:00:00,3
84,hpg_3018271825f9358f,2016-01-01 19:00:00,2016-01-01 16:00:00,2
85,hpg_37cd2a03b79e6ba0,2016-01-01 19:00:00,2016-01-01 19:00:00,4
86,hpg_37cd2a03b79e6ba0,2016-01-01 19:00:00,2016-01-01 18:00:00,3
87,hpg_3809f6ebbeb2e347,2016-01-01 19:00:00,2016-01-01 18:00:00,2
88,hpg_3b26898fded5f9d7,2016-01-01 19:00:00,2016-01-01 10:00:00,2
89,hpg_4488a1c91ca805c0,2016-01-01 19:00:00,2016-01-01 17:00:00,2
90,hpg_4c2f43c181be62da,2016-01-01 19:00:00,2016-01-01 13:00:00,4
91,hpg_4e8e2cd513a53dca,2016-01-01 19:00:00,2016-01-01 13:00:00,3
92,hpg_509dc513a435b04b,2016-01-01 19:00:00,2016-01-01 17:00:00,2
93,hpg_54d3a3f3f5ccb2e7,2016-01-01 19:00:00,2016-01-01 14:00:00,4
94,hpg_5ac19374111ee58c,2016-01-01 19:00:00,2016-01-01 13:00:00,6
95,hpg_6bc7cf8abe71a8e1,2016-01-01 19:00:00,2016-01-01 01:00:00,2
96,hpg_6d6c5ca7ae3c5cbb,2016-01-01 19:00:00,2016-01-01 16:00:00,4
97,hpg_7109da0127fb94fd,2016-01-01 19:00:00,2016-01-01 10:00:00,2
98,hpg_7d4676cc3a9821ea,2016-01-01 19:00:00,2016-01-01 18:00:00,2
99,hpg_7ffe8fb377bf05f1,2016-01-01 19:00:00,2016-01-01 15:00:00,5
100,hpg_807368d420772044,2016-01-01 19:00:00,2016-01-01 10:00:00,2
101,hpg_834f757c0a24e74d,2016-01-01 19:00:00,2016-01-01 14:00:00,3
102,hpg_87362d637d70aaa1,2016-01-01 19:00:00,2016-01-01 18:00:00,2
103,hpg_878cc70b1abc76f7,2016-01-01 19:00:00,2016-01-01 15:00:00,4
104,hpg_937cdd63a05354e5,2016-01-01 19:00:00,2016-01-01 14:00:00,5
105,hpg_93bbabe64dcaa698,2016-01-01 19:00:00,2016-01-01 12:00:00,2
106,hpg_962b3ed9f41e5b63,2016-01-01 19:00:00,2016-01-01 15:00:00,2
107,hpg_a19cfb4845cd2903,2016-01-01 19:00:00,2016-01-01 15:00:00,2
108,hpg_a508a4e8b427279a,2016-01-01 19:00:00,2016-01-01 17:00:00,2
109,hpg_b1607f7afdd0c67a,2016-01-01 19:00:00,2016-01-01 16:00:00,2
110,hpg_b331d564faf8ef78,2016-01-01 19:00:00,2016-01-01 01:00:00,3
111,hpg_b85d87bfe7bb4709,2016-01-01 19:00:00,2016-01-01 18:00:00,2
112,hpg_b8dfed4159ab691a,2016-01-01 19:00:00,2016-01-01 15:00:00,2
113,hpg_bd5ddcc6acd36caa,2016-01-01 19:00:00,2016-01-01 15:00:00,5
114,hpg_bec4ed80444bac38,2016-01-01 19:00:00,2016-01-01 16:00:00,2
115,hpg_bfd7de179720eb4a,2016-01-01 19:00:00,2016-01-01 12:00:00,4
116,hpg_c0263fd8df143188,2016-01-01 19:00:00,2016-01-01 16:00:00,2
117,hpg_c1d7804e110ab296,2016-01-01 19:00:00,2016-01-01 19:00:00,4
118,hpg_c265a318b37114f0,2016-01-01 19:00:00,2016-01-01 12:00:00,3
119,hpg_c487390517f6ad84,2016-01-01 19:00:00,2016-01-01 12:00:00,4
120,hpg_cb756234cc8c6439,2016-01-01 19:00:00,2016-01-01 11:00:00,4
121,hpg_dc639640420bde5f,2016-01-01 19:00:00,2016-01-01 16:00:00,2
122,hpg_de6ff8982341c1eb,2016-01-01 19:00:00,2016-01-01 15:00:00,2
123,hpg_e7d1ad14e87b92ba,2016-01-01 19:00:00,2016-01-01 13:00:00,3
124,hpg_ebad9e5c556cb557,2016-01-01 19:00:00,2016-01-01 16:00:00,3
125,hpg_f1140f5c5c5b581c,2016-01-01 19:00:00,2016-01-01 16:00:00,4
126,hpg_f23b00c038f70720,2016-01-01 19:00:00,2016-01-01 00:00:00,4
127,hpg_f52ca09c98a38e07,2016-01-01 19:00:00,2016-01-01 14:00:00,3
128,hpg_faeacb15ef911414,2016-01-01 19:00:00,2016-01-01 16:00:00,4
129,hpg_fb47f639355e6cb6,2016-01-01 19:00:00,2016-01-01 15:00:00,2
130,hpg_1cc9523ff72fc7cc,2016-01-01 20:00:00,2016-01-01 17:00:00,3
131,hpg_28bdf7a336ec6a7b,2016-01-01 20:00:00,2016-01-01 18:00:00,3
132,hpg_336385eeb7e57e2a,2016-01-01 20:00:00,2016-01-01 16:00:00,2
133,hpg_3b26898fded5f9d7,2016-01-01 20:00:00,2016-01-01 16:00:00,2
134,hpg_56c6f1a3f0361193,2016-01-01 20:00:00,2016-01-01 13:00:00,2
135,hpg_6acecbd8ac9b7693,2016-01-01 20:00:00,2016-01-01 20:00:00,2
136,hpg_a424f1eab0f4d3a4,2016-01-01 20:00:00,2016-01-01 18:00:00,2
137,hpg_a60a81894c6d9dac,2016-01-01 20:00:00,2016-01-01 15:00:00,4
138,hpg_ad27961cdc706c51,2016-01-01 20:00:00,2016-01-01 16:00:00,2
139,hpg_b85d87bfe7bb4709,2016-01-01 20:00:00,2016-01-01 17:00:00,3
140,hpg_c66111c11ba6382e,2016-01-01 20:00:00,2016-01-01 14:00:00,2
141,hpg_d8360804e48f7f3b,2016-01-01 20:00:00,2016-01-01 16:00:00,3
142,hpg_dd69814852f189eb,2016-01-01 20:00:00,2016-01-01 00:00:00,6
143,hpg_e3dfbd3027e9144b,2016-01-01 20:00:00,2016-01-01 14:00:00,4
144,hpg_fe372ac5dd0d8432,2016-01-01 20:00:00,2016-01-01 18:00:00,2
145,hpg_22200c4926922f31,2016-01-01 21:00:00,2016-01-01 20:00:00,4
146,hpg_37cd2a03b79e6ba0,2016-01-01 21:00:00,2016-01-01 20:00:00,2
147,hpg_d382e685f72a18c1,2016-01-01 21:00:00,2016-01-01 15:00:00,2
148,hpg_1cc9523ff72fc7cc,2016-01-01 22:00:00,2016-01-01 16:00:00,2
149,hpg_1cc9523ff72fc7cc,2016-01-01 22:00:00,2016-01-01 11:00:00,3
150,hpg_6d6c5ca7ae3c5cbb,2016-01-01 22:00:00,2016-01-01 19:00:00,4
151,hpg_ccd9468b51de8fef,2016-01-01 22:00:00,2016-01-01 20:00:00,4
152,hpg_979c3eff65e6d5d1,2016-01-02 10:00:00,2016-01-01 11:00:00,2
153,hpg_096af31beb40b93b,2016-01-02 11:00:00,2016-01-01 16:00:00,2
154,hpg_2200c5efdaef0ae8,2016-01-02 11:00:00,2016-01-01 11:00:00,8
155,hpg_4864e2002fadd960,2016-01-02 11:00:00,2016-01-01 13:00:00,2
156,hpg_49e3a7a55e8e3f19,2016-01-02 11:00:00,2016-01-01 20:00:00,2
157,hpg_622e36bf1bcbd5a3,2016-01-02 11:00:00,2016-01-01 16:00:00,2
158,hpg_6e0cffc0ae7d75e9,2016-01-02 11:00:00,2016-01-01 13:00:00,3
159,hpg_bdebc03ce25b6eb0,2016-01-02 11:00:00,2016-01-01 06:00:00,4
160,hpg_e0bdf8d6ea4e1d6c,2016-01-02 11:00:00,2016-01-01 14:00:00,4
161,hpg_e4641edebaf8eaec,2016-01-02 11:00:00,2016-01-01 11:00:00,7
162,hpg_e9493be93a762dd4,2016-01-02 11:00:00,2016-01-01 14:00:00,3
163,hpg_1a75104614cd4f8c,2016-01-02 12:00:00,2016-01-01 11:00:00,2
164,hpg_2b4d343d557c12db,2016-01-02 12:00:00,2016-01-01 16:00:00,9
165,hpg_2b96ed0651909731,2016-01-02 12:00:00,2016-01-02 09:00:00,2
166,hpg_32fbb879e0813af1,2016-01-02 12:00:00,2016-01-01 01:00:00,2
167,hpg_55552d131833e7f0,2016-01-02 12:00:00,2016-01-01 16:00:00,4
168,hpg_5652d07938de68dd,2016-01-02 12:00:00,2016-01-01 16:00:00,5
169,hpg_5b0c29ce8c287fdd,2016-01-02 12:00:00,2016-01-01 15:00:00,2
170,hpg_5b0c29ce8c287fdd,2016-01-02 12:00:00,2016-01-01 14:00:00,7
171,hpg_6ebcd94c06c5e5f5,2016-01-02 12:00:00,2016-01-01 12:00:00,4
172,hpg_7844769f38cd27d9,2016-01-02 12:00:00,2016-01-01 17:00:00,4
173,hpg_9b264d8971bc48bb,2016-01-02 12:00:00,2016-01-01 01:00:00,4
174,hpg_a00b81d9c3a2d140,2016-01-02 12:00:00,2016-01-01 00:00:00,6
175,hpg_bb5b8c50cdb18de8,2016-01-02 12:00:00,2016-01-01 21:00:00,6
176,hpg_bb5b8c50cdb18de8,2016-01-02 12:00:00,2016-01-01 13:00:00,3
177,hpg_bd03cc75d31a906e,2016-01-02 12:00:00,2016-01-01 14:00:00,7
178,hpg_c2c12e9cc9901fc4,2016-01-02 12:00:00,2016-01-01 14:00:00,2
179,hpg_c97f8754b05f0bc4,2016-01-02 12:00:00,2016-01-01 10:00:00,2
180,hpg_d8b9073adee6d02a,2016-01-02 12:00:00,2016-01-02 01:00:00,2
181,hpg_dac72789163a3f47,2016-01-02 12:00:00,2016-01-01 20:00:00,2
182,hpg_e3bd1533a2670376,2016-01-02 12:00:00,2016-01-01 01:00:00,2
183,hpg_06c98084a6dd042e,2016-01-02 13:00:00,2016-01-01 11:00:00,10
184,hpg_11453449d243bb20,2016-01-02 13:00:00,2016-01-02 00:00:00,3
185,hpg_17c0a52feb5ce0ec,2016-01-02 13:00:00,2016-01-01 03:00:00,3
186,hpg_3a08e8ff5813a233,2016-01-02 13:00:00,2016-01-02 11:00:00,3
187,hpg_4c0f91e3fb8d1ba7,2016-01-02 13:00:00,2016-01-01 00:00:00,12
188,hpg_5c83ed5c4d14a95c,2016-01-02 13:00:00,2016-01-01 00:00:00,4
189,hpg_68d745cee876a527,2016-01-02 13:00:00,2016-01-01 15:00:00,7
190,hpg_68d745cee876a527,2016-01-02 13:00:00,2016-01-01 16:00:00,5
191,hpg_9b1813d330bc7420,2016-01-02 13:00:00,2016-01-01 12:00:00,3
192,hpg_e4641edebaf8eaec,2016-01-02 13:00:00,2016-01-01 07:00:00,6
193,hpg_26f7f02b3cc5fb5a,2016-01-02 14:00:00,2016-01-02 13:00:00,2
194,hpg_5a4cf117b663fa9d,2016-01-02 14:00:00,2016-01-01 18:00:00,5
195,hpg_5b0c29ce8c287fdd,2016-01-02 14:00:00,2016-01-01 05:00:00,2
196,hpg_7f45e563da754ca1,2016-01-02 14:00:00,2016-01-01 16:00:00,4
197,hpg_c987c2f0680678d6,2016-01-02 14:00:00,2016-01-01 16:00:00,12
198,hpg_641891297a3ee61e,2016-01-02 15:00:00,2016-01-01 14:00:00,4
199,hpg_adc74b1b6f2dc823,2016-01-02 15:00:00,2016-01-01 14:00:00,2
200,hpg_bda681618b1a9852,2016-01-02 15:00:00,2016-01-01 12:00:00,10
201,hpg_04560d262129c7de,2016-01-02 16:00:00,2016-01-01 16:00:00,7
202,hpg_0c9ebc17ec0c51a0,2016-01-02 16:00:00,2016-01-01 13:00:00,3
203,hpg_716906a95eb27288,2016-01-02 16:00:00,2016-01-02 15:00:00,3
204,hpg_ac20c07b1620cc40,2016-01-02 16:00:00,2016-01-01 12:00:00,3
205,hpg_db0d375e7dc5b0a6,2016-01-02 16:00:00,2016-01-01 11:00:00,2
206,hpg_035050f3a03dafb2,2016-01-02 17:00:00,2016-01-02 16:00:00,6
207,hpg_05b9ac715a68163b,2016-01-02 17:00:00,2016-01-02 12:00:00,4
208,hpg_08d597dd6ec55684,2016-01-02 17:00:00,2016-01-01 00:00:00,4
209,hpg_0daa3b0d9d192085,2016-01-02 17:00:00,2016-01-01 10:00:00,9
210,hpg_10057dcb8d4abebe,2016-01-02 17:00:00,2016-01-01 16:00:00,8
211,hpg_10057dcb8d4abebe,2016-01-02 17:00:00,2016-01-01 15:00:00,2
212,hpg_117b6e135a983005,2016-01-02 17:00:00,2016-01-01 15:00:00,7
213,hpg_155cfbca13628a6a,2016-01-02 17:00:00,2016-01-01 15:00:00,7
214,hpg_18002dc6acb80a30,2016-01-02 17:00:00,2016-01-02 15:00:00,7
215,hpg_22711c0bd5cc661e,2016-01-02 17:00:00,2016-01-02 16:00:00,7
216,hpg_27c0f14115d1491a,2016-01-02 17:00:00,2016-01-02 16:00:00,5
217,hpg_315f6f111b6596f5,2016-01-02 17:00:00,2016-01-01 23:00:00,2
218,hpg_351f4d326c124f7c,2016-01-02 17:00:00,2016-01-02 14:00:00,3
219,hpg_36d75aa66ea87511,2016-01-02 17:00:00,2016-01-01 15:00:00,10
220,hpg_39e0e01ff86830c4,2016-01-02 17:00:00,2016-01-02 16:00:00,5
221,hpg_3a3cd6ec19996677,2016-01-02 17:00:00,2016-01-02 16:00:00,2
222,hpg_3b55c13a3d80eb2e,2016-01-02 17:00:00,2016-01-01 01:00:00,2
223,hpg_3b88bda61a3f7058,2016-01-02 17:00:00,2016-01-01 15:00:00,4
224,hpg_3c5354eab8c496e3,2016-01-02 17:00:00,2016-01-01 18:00:00,6
225,hpg_3d237581ec5d3a27,2016-01-02 17:00:00,2016-01-01 11:00:00,2
226,hpg_3da64749f5d81db2,2016-01-02 17:00:00,2016-01-02 09:00:00,2
227,hpg_3f81756651806b18,2016-01-02 17:00:00,2016-01-01 22:00:00,5
228,hpg_3f81756651806b18,2016-01-02 17:00:00,2016-01-01 16:00:00,4
229,hpg_43cdab2558252edc,2016-01-02 17:00:00,2016-01-01 20:00:00,6
230,hpg_43dde6232be0d4ae,2016-01-02 17:00:00,2016-01-02 12:00:00,3
231,hpg_43f9ccbb35553c70,2016-01-02 17:00:00,2016-01-02 11:00:00,10
232,hpg_49e3a7a55e8e3f19,2016-01-02 17:00:00,2016-01-02 11:00:00,7
233,hpg_4cd2421a90ddd2b1,2016-01-02 17:00:00,2016-01-01 18:00:00,5
234,hpg_4cf98a309253a9a8,2016-01-02 17:00:00,2016-01-01 16:00:00,4
235,hpg_4cf98a309253a9a8,2016-01-02 17:00:00,2016-01-01 16:00:00,4
236,hpg_4de90e1717d57531,2016-01-02 17:00:00,2016-01-01 06:00:00,2
237,hpg_516f30dbea4fd863,2016-01-02 17:00:00,2016-01-01 12:00:00,5
238,hpg_5290649ea3af5b12,2016-01-02 17:00:00,2016-01-01 23:00:00,4
239,hpg_571f0bbba466fc71,2016-01-02 17:00:00,2016-01-01 21:00:00,4
240,hpg_585fb1b0c74eb462,2016-01-02 17:00:00,2016-01-01 12:00:00,4
241,hpg_5b02ade586ef986e,2016-01-02 17:00:00,2016-01-01 11:00:00,3
242,hpg_5f098f7ab9667343,2016-01-02 17:00:00,2016-01-01 16:00:00,3
243,hpg_6746bb37dc45ce96,2016-01-02 17:00:00,2016-01-02 14:00:00,2
244,hpg_6928b312567f6c34,2016-01-02 17:00:00,2016-01-01 13:00:00,5
245,hpg_6d7459ac85b066b8,2016-01-02 17:00:00,2016-01-02 08:00:00,6
246,hpg_6eb94853241b522f,2016-01-02 17:00:00,2016-01-01 21:00:00,3
247,hpg_6ef77a603ace7e1a,2016-01-02 17:00:00,2016-01-01 16:00:00,3
248,hpg_721ea0922faa5f2b,2016-01-02 17:00:00,2016-01-01 18:00:00,5
249,hpg_725a93e7a93495b0,2016-01-02 17:00:00,2016-01-01 15:00:00,6
250,hpg_73bdd3e107d6b219,2016-01-02 17:00:00,2016-01-02 10:00:00,4
251,hpg_76a3f3d4374a7b9d,2016-01-02 17:00:00,2016-01-02 13:00:00,5
252,hpg_784cd96ff040419e,2016-01-02 17:00:00,2016-01-02 16:00:00,5
253,hpg_7b1250395da41fae,2016-01-02 17:00:00,2016-01-01 16:00:00,4
254,hpg_7dc6f6ba5bb09b9a,2016-01-02 17:00:00,2016-01-01 14:00:00,9
255,hpg_7ecab711128b4a69,2016-01-02 17:00:00,2016-01-01 18:00:00,2
256,hpg_7ed82f2b5fe2d56e,2016-01-02 17:00:00,2016-01-01 19:00:00,4
257,hpg_7f05ae1facc969ab,2016-01-02 17:00:00,2016-01-02 16:00:00,5
258,hpg_820afc97fee45771,2016-01-02 17:00:00,2016-01-02 16:00:00,5
259,hpg_82cd8b983ebbebea,2016-01-02 17:00:00,2016-01-02 15:00:00,3
260,hpg_83f62755a0fcc033,2016-01-02 17:00:00,2016-01-02 14:00:00,5
261,hpg_84fb65f78eaa9980,2016-01-02 17:00:00,2016-01-01 18:00:00,9
262,hpg_8e138304eb6dbb56,2016-01-02 17:00:00,2016-01-01 18:00:00,2
263,hpg_94bd179a80ae8e94,2016-01-02 17:00:00,2016-01-01 20:00:00,3
264,hpg_9525b1b2e0223c17,2016-01-02 17:00:00,2016-01-01 21:00:00,2
265,hpg_96f95475a20e3716,2016-01-02 17:00:00,2016-01-01 22:00:00,5
266,hpg_96ffd61b193a3597,2016-01-02 17:00:00,2016-01-01 16:00:00,4
267,hpg_9e3420533f0083e4,2016-01-02 17:00:00,2016-01-01 15:00:00,2
268,hpg_abc967b437478a74,2016-01-02 17:00:00,2016-01-02 15:00:00,2
269,hpg_b1607f7afdd0c67a,2016-01-02 17:00:00,2016-01-02 14:00:00,2
270,hpg_b2f1f6af37877154,2016-01-02 17:00:00,2016-01-02 12:00:00,2
271,hpg_b3745c222f8f9a30,2016-01-02 17:00:00,2016-01-01 14:00:00,12
272,hpg_babe2c3d962d7bb6,2016-01-02 17:00:00,2016-01-01 22:00:00,3
273,hpg_bc3d277d7adb0ea0,2016-01-02 17:00:00,2016-01-02 10:00:00,6
274,hpg_bde9e58cc1d1dbc8,2016-01-02 17:00:00,2016-01-01 21:00:00,2
275,hpg_bfd7de179720eb4a,2016-01-02 17:00:00,2016-01-01 22:00:00,2
276,hpg_c35f09d64c7bedcf,2016-01-02 17:00:00,2016-01-02 14:00:00,4
277,hpg_c80670fcd331adb7,2016-01-02 17:00:00,2016-01-01 08:00:00,4
278,hpg_cbec1da87b9fbf5d,2016-01-02 17:00:00,2016-01-02 13:00:00,3
279,hpg_cf71e862a2d2094d,2016-01-02 17:00:00,2016-01-01 15:00:00,3
280,hpg_d1372a4b2d5a69f0,2016-01-02 17:00:00,2016-01-01 11:00:00,4
281,hpg_d6aa98a5f4a66423,2016-01-02 17:00:00,2016-01-01 20:00:00,4
282,hpg_d86b2ad8e4c47e0d,2016-01-02 17:00:00,2016-01-01 22:00:00,4
283,hpg_d8fcd42fd4817e76,2016-01-02 17:00:00,2016-01-02 12:00:00,5
284,hpg_d904b33089e5026d,2016-01-02 17:00:00,2016-01-01 14:00:00,2
285,hpg_db0d375e7dc5b0a6,2016-01-02 17:00:00,2016-01-01 11:00:00,2
286,hpg_e130387cfa3c2ae1,2016-01-02 17:00:00,2016-01-01 20:00:00,5
287,hpg_e5743d53d81e83a9,2016-01-02 17:00:00,2016-01-01 15:00:00,14
288,hpg_e78855f1619e7c8e,2016-01-02 17:00:00,2016-01-01 11:00:00,6
289,hpg_e7f1a1f80256c1ea,2016-01-02 17:00:00,2016-01-01 14:00:00,3
290,hpg_e9493be93a762dd4,2016-01-02 17:00:00,2016-01-01 20:00:00,4
291,hpg_e9493be93a762dd4,2016-01-02 17:00:00,2016-01-01 19:00:00,4
292,hpg_e9493be93a762dd4,2016-01-02 17:00:00,2016-01-01 04:00:00,4
293,hpg_ee7eccd5d182de6b,2016-01-02 17:00:00,2016-01-02 14:00:00,4
294,hpg_f04580a4ed2b795e,2016-01-02 17:00:00,2016-01-02 16:00:00,8
295,hpg_f5eebee63869be3e,2016-01-02 17:00:00,2016-01-01 20:00:00,5
296,hpg_f6e00ed41c29f99c,2016-01-02 17:00:00,2016-01-01 22:00:00,5
297,hpg_f92222c61d0adb11,2016-01-02 17:00:00,2016-01-01 15:00:00,4
298,hpg_ff068149b7cdfe99,2016-01-02 17:00:00,2016-01-02 15:00:00,5
299,hpg_00497dd86c0bb934,2016-01-02 18:00:00,2016-01-01 16:00:00,2
300,hpg_00c6b225ef98a262,2016-01-02 18:00:00,2016-01-01 21:00:00,4
301,hpg_02a1c68d520900d8,2016-01-02 18:00:00,2016-01-01 23:00:00,2
302,hpg_02d811c9f3125dd9,2016-01-02 18:00:00,2016-01-02 09:00:00,4
